"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"379138581X",false,45,"USD",0,0,0,54,4.7,"https://www.amazon.com/dp/379138581X","253.80",false,false,false,false,"Bookstores: A Celebration of Independent Booksellers","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/A1WwJNdFbSL._AC_UL320_.jpg"
1,2,2,"B089CKVRVW",false,0,"USD",0,0,0,1663,4.3,"https://www.amazon.com/dp/B089CKVRVW","7150.90",false,false,false,false,"The Booksellers","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81G1CNQXKFL._AC_UL320_.jpg"
1,3,3,"1250037751",true,8.79,"USD",18,9.21,51.17,5236,4.2,"https://www.amazon.com/dp/1250037751","21991.20",false,false,false,false,"Mr. Penumbra's 24-Hour Bookstore: A Novel","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81ehEnDuFmL._AC_UL320_.jpg"
1,4,4,"1797217011",false,14.99,"USD",0,0,0,4,5,"https://www.amazon.com/dp/1797217011","20.00",false,false,false,false,"2023 Wall Cal: This Is My Bookstore","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/811LeChLRlL._AC_UL320_.jpg"
1,5,5,"B0B26Q9LSM",false,1.99,"USD",0,0,0,86,4.2,"https://www.amazon.com/dp/B0B26Q9LSM","361.20",false,false,false,false,"Hello, Bookstore","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81XIsyCJcIL._AC_UL320_.jpg"
1,6,6,"B07JDFYJLG",true,0,"USD",20.99,20.99,100,3377,4.3,"https://www.amazon.com/dp/B07JDFYJLG","14521.10",false,false,false,false,"Murder by the Book: Beyond the Page Bookstore Mystery, Book 1","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81uRaGNL8IL._AC_UL320_.jpg"
1,7,7,"B0BB52CCND",false,0,"USD",0,0,0,20484,4.4,"https://www.amazon.com/dp/B0BB52CCND","90129.60",false,false,true,false,"The Bookstore Sisters: A Short Story","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81OrrjDgaSL._AC_UL320_.jpg"
2,1,8,"1938733959",true,16.99,"USD",17.99,1,5.56,107,4,"https://www.amazon.com/dp/1938733959","428.00",false,false,false,false,"Sponsored Ad - High Crimes: A Georgia Davis Novel of Suspense (Georgia Davis Series)","https://m.media-amazon.com/images/I/61VRrGYk3ML._AC_UL320_.jpg"
2,3,10,"B09S69W17Y",false,14.99,"USD",0,0,0,12,4.9,"https://www.amazon.com/dp/B09S69W17Y","58.80",false,false,false,false,"Sponsored Ad - TSOTMO Book Gift Bookworm Gift Quote Literature Gift for Fans Bookish Zipper Pouch Literary Couples Gift","https://m.media-amazon.com/images/I/715GPhrDZNL._AC_UL320_.jpg"
2,4,11,"1792373163",false,17.95,"USD",0,0,0,3,4.1,"https://www.amazon.com/dp/1792373163","12.30",false,false,false,false,"Sponsored Ad - O'Donovan's Travels: A Healer’s Potion","https://m.media-amazon.com/images/I/61x69oK0akL._AC_UL320_.jpg"
2,5,12,"B09XJKPB45",true,9.99,"USD",28,18.01,64.32,147,4.3,"https://www.amazon.com/dp/B09XJKPB45","632.10",false,false,false,false,"China Hand","https://m.media-amazon.com/images/I/81LzPtdWbuL._AC_UL320_.jpg"
2,6,13,"0544483871",true,10.49,"USD",17.99,7.5,41.69,1193,4.7,"https://www.amazon.com/dp/0544483871","5607.10",false,false,false,false,"The Arsenal of Democracy: FDR, Detroit, and an Epic Quest to Arm an America at War","https://m.media-amazon.com/images/I/71+p1AWEBdL._AC_UL320_.jpg"
2,7,14,"B0761WNFY3",false,3.99,"USD",0,0,0,37,4,"https://www.amazon.com/dp/B0761WNFY3","148.00",false,false,false,false,"Out of Print","https://m.media-amazon.com/images/I/81YiVt0otYL._AC_UL320_.jpg"
3,1,15,"1938733959",true,16.99,"USD",17.99,1,5.56,107,4,"https://www.amazon.com/dp/1938733959","428.00",false,false,false,false,"Sponsored Ad - High Crimes: A Georgia Davis Novel of Suspense (Georgia Davis Series)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61VRrGYk3ML._AC_UL320_.jpg"
3,2,16,"1683581857",false,24.99,"USD",0,0,0,139,4.8,"https://www.amazon.com/dp/1683581857","667.20",false,false,false,false,"Sponsored Ad - Miracle Moments in Notre Dame Fighting Irish Football History: Best Plays, Games, and Records","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/814mnCw0iRL._AC_UL320_.jpg"
3,3,17,"B0913H57N1",false,15.99,"USD",0,0,0,1,5,"https://www.amazon.com/dp/B0913H57N1","5.00",false,false,false,false,"Sponsored Ad - Teachers Can Do Virtually Anything – Shoulder Bag Shopping Bag Tote Bag Gift – Appreciation Gifts for Teach...","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/71z+Pl0ojeS._AC_UL320_.jpg"
3,4,18,"B09Y5SHXNZ",false,14.99,"USD",0,0,0,1,5,"https://www.amazon.com/dp/B09Y5SHXNZ","5.00",false,false,false,false,"Sponsored Ad - TSOTMO Librarian Zipper Pouch Makeup Bag Librarian Survival Kit Bag Library Gift Bookish (librarian)","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/714wMU01upL._AC_UL320_.jpg"
